hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,is_repeated_guest,previous_cancellations,deposit_type,customer_type,adr,total_of_special_requests
City Hotel,0,85,2016,December,1,1,2,0.0,0,SC,FRA,Groups,0,0,No Deposit,Transient,82.59,0
Resort Hotel,0,153,2016,September,1,3,2,0.0,0,BB,BEL,Online TA,0,0,No Deposit,Transient,185.34,0
Resort Hotel,0,43,2017,May,1,0,2,2.0,0,BB,PRT,Offline TA/TO,0,0,No Deposit,Transient-Party,110.11,0
City Hotel,0,68,2016,November,0,5,1,0.0,0,SC,PRT,Offline TA/TO,0,0,No Deposit,Transient,99.72,0
City Hotel,1,96,2016,July,0,5,1,0.0,0,SC,PRT,Direct,0,1,No Deposit,Transient,135.87,0
Resort Hotel,0,134,2016,July,1,3,2,0.0,0,BB,ESP,Groups,0,0,No Deposit,Transient,131.61,1
City Hotel,0,79,2016,October,1,3,1,0.0,0,BB,GBR,Groups,0,0,No Deposit,Transient,103.29,2
Resort Hotel,0,199,2015,January,0,5,2,0.0,0,BB,FRA,Corporate,0,0,No Deposit,Transient,80.31,2
Resort Hotel,0,8,2015,September,0,3,2,0.0,0,BB,DEU,Offline TA/TO,0,0,No Deposit,Transient,123.99,0
City Hotel,0,136,2017,June,2,2,3,2.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,137.78,0
City Hotel,1,213,2017,September,0,1,2,0.0,0,BB,PRT,Groups,0,0,No Deposit,Transient,129.77,1
City Hotel,0,84,2016,May,1,4,1,1.0,0,BB,DEU,Online TA,0,3,No Deposit,Transient,168.93,0
City Hotel,0,197,2015,March,0,4,2,1.0,0,HB,PRT,Direct,0,0,No Deposit,Transient,134.87,1
City Hotel,0,231,2016,August,2,0,3,0.0,0,BB,BEL,Online TA,0,0,No Deposit,Transient,130.86,0
City Hotel,1,188,2017,August,0,1,3,0.0,0,SC,NLD,Groups,1,0,No Deposit,Transient,142.43,0
City Hotel,0,231,2015,June,0,1,3,0.0,0,BB,PRT,Offline TA/TO,0,0,No Deposit,Transient-Party,127.1,1
Resort Hotel,1,131,2016,May,1,2,2,0.0,0,SC,PRT,Online TA,0,0,No Deposit,Transient,98.59,1
Resort Hotel,0,207,2016,November,0,3,3,0.0,0,SC,PRT,Offline TA/TO,0,0,No Deposit,Transient,105.78,0
City Hotel,0,45,2016,March,1,6,2,0.0,0,Undefined,PRT,Groups,0,0,No Deposit,Transient-Party,88.69,1
Resort Hotel,0,96,2016,August,0,6,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,151.48,0
City Hotel,1,78,2017,June,0,4,2,0.0,0,BB,NLD,Groups,0,0,No Deposit,Transient,137.41,0
City Hotel,1,125,2016,December,0,2,2,0.0,0,BB,ESP,Online TA,0,0,Non Refund,Transient,90.18,0
City Hotel,0,113,2015,December,1,3,2,0.0,0,BB,ITA,Offline TA/TO,1,0,No Deposit,Transient,106.96,0
City Hotel,0,176,2016,September,0,3,1,2.0,0,SC,BEL,Direct,0,0,No Deposit,Transient,184.71,2
City Hotel,0,63,2016,July,1,2,2,0.0,0,BB,ITA,Online TA,0,0,No Deposit,Transient,137.7,2
City Hotel,1,139,2016,July,2,2,1,2.0,0,BB,DEU,Corporate,0,0,Refundable,Transient-Party,205.51,0
City Hotel,1,291,2017,March,0,4,2,1.0,0,HB,PRT,Complementary,0,0,No Deposit,Transient,114.21,0
Resort Hotel,0,94,2017,July,2,2,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,117.59,0
City Hotel,0,24,2016,October,1,4,1,0.0,0,SC,PRT,Offline TA/TO,0,0,No Deposit,Transient,86.8,1
City Hotel,0,77,2016,September,0,2,2,0.0,0,BB,ESP,Online TA,0,0,No Deposit,Transient-Party,107.44,0
City Hotel,0,93,2016,May,0,3,1,0.0,0,BB,PRT,Groups,0,0,No Deposit,Transient,87.03,0
City Hotel,0,59,2016,March,0,0,1,0.0,0,FB,NLD,Online TA,0,0,No Deposit,Transient,90.14,0
City Hotel,1,43,2015,June,0,3,1,0.0,0,Undefined,GBR,Online TA,0,0,No Deposit,Transient-Party,141.84,0
City Hotel,0,47,2015,January,1,5,1,1.0,0,BB,PRT,Offline TA/TO,0,3,No Deposit,Transient,100.97,1
Resort Hotel,1,61,2015,July,0,3,1,0.0,0,BB,PRT,Corporate,0,0,No Deposit,Transient-Party,185.89,0
City Hotel,0,91,2016,August,0,5,1,2.0,0,HB,ESP,Corporate,0,0,No Deposit,Transient-Party,174.39,2
City Hotel,0,94,2017,January,0,2,2,0.0,0,HB,BEL,Online TA,0,0,No Deposit,Transient,87.31,1
City Hotel,0,19,2016,September,0,2,2,0.0,0,BB,DEU,Online TA,0,0,No Deposit,Transient,129.96,1
Resort Hotel,0,154,2016,May,1,0,3,0.0,0,BB,PRT,Offline TA/TO,0,0,No Deposit,Transient-Party,89.48,1
City Hotel,0,64,2015,July,0,8,2,0.0,0,BB,ITA,Online TA,0,0,No Deposit,Contract,132.16,1
City Hotel,1,20,2016,August,1,3,2,0.0,0,BB,GBR,Online TA,0,0,No Deposit,Transient,118.35,0
Resort Hotel,0,100,2016,October,0,1,1,2.0,0,HB,FRA,Offline TA/TO,0,0,No Deposit,Transient-Party,102.7,0
City Hotel,0,31,2017,December,1,1,2,0.0,0,BB,FRA,Direct,0,0,No Deposit,Transient,123.29,0
Resort Hotel,0,4,2015,August,1,4,2,0.0,0,HB,ESP,Online TA,0,0,No Deposit,Transient,151.0,1
City Hotel,1,64,2016,June,2,2,2,0.0,0,HB,ESP,Groups,0,0,No Deposit,Transient,151.43,0
Resort Hotel,0,110,2017,September,0,5,2,0.0,0,SC,ESP,Groups,0,0,No Deposit,Transient,166.0,0
City Hotel,1,149,2017,August,0,2,2,0.0,0,BB,PRT,Groups,0,0,No Deposit,Transient,143.77,0
City Hotel,0,61,2016,May,1,1,2,0.0,0,BB,PRT,Online TA,1,0,No Deposit,Transient,114.97,0
City Hotel,0,131,2015,November,0,2,2,0.0,0,BB,FRA,Online TA,0,1,No Deposit,Transient,109.25,0
