customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4203-NZFTF,Female,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,25.01,1792.44,No
4368-UGVCE,Male,1,Yes,No,30,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,79.41,2380.77,Yes
8778-PPMOA,Female,1,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.18,276.32,No
5327-DKISP,Female,0,Yes,No,32,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,94.3,3058.67,No
5406-SFMDA,Male,0,No,No,37,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,59.07,2246.82,No
3947-RIYQM,Female,0,No,No,16,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,51.82,853.28,No
4242-RIILP,Female,0,No,No,36,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,74.81,2735.89,No
6259-ULLLS,Female,1,No,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.33,744.68,No
1696-SSMIX,Male,0,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,81.43,968.13,No
8845-ALUBT,Male,0,Yes,Yes,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),27.44,1104.23,No
5317-DRIGI,Male,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.44,899.01,No
5424-YIPTB,Female,0,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),63.2,1610.36,Yes
8667-VYQZB,Female,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.26,650.11,No
8425-RJGYQ,Female,1,No,No,8,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),71.9,568.41,No
1233-TVSCZ,Male,0,Yes,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.2,1779.29,No
5501-QMBCF,Male,0,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.14,464.4,No
7550-CBUYR,Female,0,No,Yes,18,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),60.4,1045.66,No
7971-JSBPM,Male,0,No,Yes,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,28.37,960.88,No
9486-XPLIX,Female,0,No,No,72,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Mailed check,72.21,5186.61,No
4913-WFYHH,Female,0,Yes,No,42,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,76.64,3212.69,No
9652-HLRSP,Female,0,No,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,27.01,557.37,No
7875-RBSOL,Male,0,Yes,No,32,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,56.37,1777.46,No
3111-ORJVM,Female,0,Yes,No,32,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.49,3390.45,Yes
8573-FXEUH,Female,0,No,No,25,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,78.32,1970.3,No
8089-LSFAJ,Female,1,No,Yes,9,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),57.63,501.42,No
8300-FPGTP,Male,0,Yes,No,43,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,89.45,3874.99,No
4754-FSJUZ,Male,0,No,Yes,17,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.51,1171.54,No
1754-PXQWU,Male,0,Yes,Yes,13,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),84.92,1059.69,No
3435-SOBAC,Male,0,Yes,No,19,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),78.32,1406.48,Yes
6051-LSCGD,Female,0,Yes,No,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.25,925.72,No
6511-WBZOT,Female,0,No,Yes,17,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.28,1433.45,Yes
7253-BKCFT,Female,0,Yes,Yes,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,27.04,628.61,No
1490-XCTEQ,Male,0,No,No,72,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Mailed check,69.71,5057.36,No
5352-EDRXY,Male,0,Yes,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),23.32,427.28,No
7445-HRTDB,Male,1,Yes,Yes,23,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,65.48,1500.63,No
6852-PUUTF,Male,0,Yes,Yes,25,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,102.04,2573.3,Yes
5411-WXIAE,Male,1,Yes,No,18,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,74.8,1383.53,Yes
5791-EEJNS,Male,0,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),21.48,429.49,No
1890-DQGZY,Male,1,No,No,27,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,64.99,1786.22,Yes
5477-HUUWG,Female,0,No,No,17,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),86.96,1470.44,Yes
3889-GNYSJ,Male,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),26.16,132.46,No
2009-NQNKV,Female,0,No,No,6,No,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,54.72,307.8,No
2078-WSIBH,Female,0,No,No,24,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,81.04,1923.22,No
4912-LLASY,Male,0,Yes,Yes,69,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,75.45,5225.83,No
8399-FDDZU,Female,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.22,533.52,No
8201-XSINV,Female,0,No,Yes,30,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,73.24,2234.25,Yes
4509-YJHDK,Male,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.21,1215.85,No
6214-KIYKJ,Male,0,No,Yes,36,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,98.47,3554.89,No
4786-ALDHE,Female,0,No,No,25,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,99.34,2505.31,No
7900-NLDRA,Male,0,Yes,Yes,23,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),83.92,1891.57,No
1513-VBJVZ,Male,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,24.05,296.6,No
4185-PFIMI,Male,0,No,No,42,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,No,Mailed check,90.98,3828.68,No
3915-ZVWYF,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,26.29,1372.12,No
8346-ULSDP,Female,0,No,No,0,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),80.25, ,Yes
2315-LCHOI,Female,0,No,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),23.86,991.28,No
1050-CFUWM,Female,0,Yes,No,37,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),84.43,3110.64,No
9443-LSDYU,Male,0,No,No,19,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,72.91,1432.34,No
9115-PCXCK,Female,0,No,No,14,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,90.89,1263.0,No
6628-WIDYM,Male,0,No,No,34,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),73.88,2517.15,No
4809-AZSZJ,Male,0,No,No,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.36,83.22,No
7483-OBJUM,Female,0,Yes,No,19,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,105.73,2034.74,No
7202-FYIDR,Male,0,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),25.08,752.84,No
2085-HOXTS,Female,0,No,No,59,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),68.54,4058.43,No
2085-FCZBZ,Female,0,No,No,72,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,74.63,5410.84,No
